"","Species","GBIF_ID","mean_body_mass"
"140","Alticola semicanus",2438718,36
"141","Alticola stoliczkanus",2438722,30.14
"142","Alticola strelzowi",2438719,49.9975
"143","Amblysomus corriae",5218448,64.8
"144","Amblysomus hottentotus",5218439,67.4
"145","Amblysomus marleyi",5218446,64.8
"146","Amblysomus robustus",5218438,64.8
"147","Amblysomus septentrionalis",5218447,64.8
"148","Ametrida centurio",2433235,11.305
"149","Ammodillus imbellis",2438331,49.99
"150","Ammodorcas clarkei",2441128,28274.905
"151","Ammospermophilus harrisii",2437568,127.333333333333
"152","Ammospermophilus insularis",2437572,101.99
"153","Ammospermophilus interpres",2437571,111.365
"154","Ammospermophilus leucurus",2437570,98.3375
"155","Ammospermophilus nelsoni",2437569,157.46
"156","Ammotragus lervia",2441005,91050
"157","Amorphochilus schnablii",2432771,4.15
"158","Anathana ellioti",2436266,160
"159","Andalgalomys olrogi",2438727,32.9
"160","Andalgalomys pearsoni",2438726,25.4
"161","Andinomys edax",2438956,69.75
"162","Anisomys imitator",2438052,510.5
"163","Anomalurus beecrofti",5219881,434.035
"164","Anomalurus derbianus",5219879,770
"165","Anomalurus pelii",5219882,1650
"166","Anomalurus pusillus",5219880,250
"167","Anonymomys mindorensis",2437876,56.21
"168","Anotomys leander",2438903,66.39
"169","Anoura caudifer",5963040,11.2275
"170","Anoura cultrata",5963042,17.39
"171","Anoura geoffroyi",5963041,15.1333333333333
"172","Anoura latidens",5963038,14.33
"173","Anourosorex assamensis",2435783,20
"174","Anourosorex schmidi",2435782,20
"175","Anourosorex squamipes",2435780,20
"176","Anourosorex yamashinai",2435781,20
"177","Antechinomys laniger",2435419,24.5
"178","Antechinus agilis",2435369,20.75
"179","Antechinus bellus",2435372,34.7888835266667
"180","Antechinus flavipes",2435366,45.29125
"181","Antechinus godmani",2435376,75.74
"182","Antechinus leo",2435371,62.045387955
"183","Antechinus minimus",2435375,47.277616735
"184","Antechinus stuartii",2435370,25.674002645
"185","Antechinus swainsonii",2435377,54.7405253475
"186","Anthops ornatus",2432610,17.94
"187","Antidorcas marsupialis",2441064,33490.4133333333
"188","Antilocapra americana",2440902,42213.3396075
"189","Antilope cervicapra",2441065,37388.8888888889
"190","Antrozous pallidus",2432339,21.6
"191","Aonyx capensis",2433900,22455.555
"192","Aonyx cinerea",2433894,3000
"193","Aonyx cinereus",2433894,3000
"194","Aotus azarae",5707409,1230
"195","Aotus hershkovitzi",5219594,800
"196","Aotus lemurinus",5219591,882.666666666667
"197","Aotus miconax",5219592,800
"198","Aotus nancymaae",5219589,791.03
"199","Aotus nigriceps",5219595,1057
"200","Aotus trivirgatus",5219590,875.441083316667
"201","Aotus vociferans",5219597,872.9975
"202","Aplodontia rufa",2439690,777.7
"203","Apodemus agrarius",2437761,21.2
"204","Apodemus alpicola",2437769,29.375
"205","Apodemus argenteus",5219736,23.4
"206","Apodemus chevrieri",5219743,21.2
"207","Apodemus draco",5219737,23.4
"208","Apodemus epimelas",4264851,42.3
"209","Apodemus flavicollis",2437756,28.44375
"210","Apodemus gurkha",5219738,29.375
"211","Apodemus latronum",5219739,29.4
"212","Apodemus mystacinus",2437773,41.35
"213","Apodemus pallipes",5706748,23.39
"214","Apodemus peninsulae",5219734,31.15
"215","Apodemus ponticus",5219740,29.375
"216","Apodemus rusiges",5219735,24.8
"217","Apodemus semotus",5219741,23.6
"218","Apodemus speciosus",5219745,43.875
"219","Apodemus sylvaticus",2437760,23.725
"220","Apodemus uralensis",2437775,23.39
"221","Apodemus witherbyi",5706747,20.565
"222","Apomys abrae",2438430,34.88
"223","Apomys datae",2438427,34.88
"224","Apomys hylocetes",4264812,34.88
"225","Apomys insignis",2438429,34.88
"226","Apomys littoralis",2438432,30.95
"227","Apomys microdon",2438428,34.98
"228","Apomys musculus",2438426,21.2
"229","Apomys sacobianus",2438431,34.88
"230","Aproteles bulmerae",2432939,623.91
"231","Arborimus albipes",2437933,23
"232","Arborimus longicaudus",2437931,22.39
"233","Arborimus pomo",2437932,28.0225
"234","Archboldomys luzonensis",2437704,35.34
"235","Arctictis binturong",2434615,13038.7475
"236","Arctocebus aureus",2436631,257.5
"237","Arctocebus calabarensis",2436632,238.326170475
"238","Arctocephalus australis",2433480,95993.1433333333
"239","Arctocephalus forsteri",2433474,67979.43
"240","Arctocephalus galapagoensis",2433473,36000
"241","Arctocephalus gazella",2433472,68659.81
"242","Arctocephalus philippii",2433470,98031.85
"243","Arctocephalus pusillus",2433475,136125.833333333
"244","Arctocephalus tropicalis",2433471,63058.000145
"245","Arctogalidia trivirgata",2434742,2190
"246","Arctonyx collaris",2433743,10500
"247","Ardops nichollsi",2433277,19.23
"248","Arielulus circumdatus",4265946,10.4
"249","Arielulus cuprosus",4265949,6.91
"250","Arielulus societatis",4265947,8.72
"251","Ariteus flavescens",2433307,10.09
"252","Artibeus amplus",2433266,61.04
"253","Artibeus anderseni",2433273,6.91
"254","Artibeus aztecus",2433261,16.755
"255","Artibeus cinereus",2433267,12.7
"256","Artibeus concolor",2433274,19.6875
"257","Artibeus fimbriatus",2433268,63.8975
"258","Artibeus fraterculus",2433275,45.65
"259","Artibeus glaucus",2433262,12.505
"260","Artibeus gnomus",4265331,12.31
"261","Artibeus hirsutus",2433263,40.42
"262","Artibeus inopinatus",2433269,18.99
"263","Artibeus jamaicensis",2433272,43.925
"264","Artibeus lituratus",2433270,57.9
"265","Artibeus obscurus",2433259,45.65
"266","Artibeus phaeotis",2433264,11.69
"267","Artibeus toltecus",2433260,14.085
"268","Artibeus watsoni",4265337,12.31
"269","Arvicanthis abyssinicus",2438915,73.34
"270","Arvicanthis ansorgei",4264809,95.8
"271","Arvicanthis blicki",2438918,100.67
"272","Arvicanthis nairobae",2438916,73.34
"273","Arvicanthis neumanni",2438917,73.34
"274","Arvicanthis niloticus",9733997,90.1
"275","Arvicanthis rufinus",4264810,89.84
"276","Arvicola amphibius",4265185,110.8625
"277","Arvicola sapidus",2438492,120
"278","Arvicola scherman",4265186,97.5
"279","Arvicola terrestris",2438491,160
"280","Asellia patrizii",2432601,8.72
"281","Asellia tridens",2432602,10
"282","Aselliscus stoliczkanus",2432598,6.09
"283","Aselliscus tricuspidatus",2432599,4.14
"284","Atelerix albiventris",2437140,475
"285","Atelerix algirus",2437136,824.49
"286","Atelerix frontalis",2437132,319.06
"287","Atelerix sclateri",2437135,392
"288","Ateles belzebuth",2436642,7254.14
"289","Ateles chamek",2436646,6647.23
"290","Ateles fusciceps",2436641,7545.66979066667
"291","Ateles geoffroyi",2436643,7238.19862833333
"292","Ateles hybridus",4267251,6692.42
"293","Ateles marginatus",2436644,6114.64
"294","Ateles paniscus",2436645,7889.58333333333
"295","Atelocynus microtis",2434454,9500
"296","Atherurus africanus",5219892,2812.825
"297","Atherurus macrourus",5219891,2000
"298","Atilax paludinosus",2434188,3300
"299","Atlantoxerus getulus",2437470,250.57
"300","Auliscomys boliviensis",2438834,75.3275
"301","Auliscomys pictus",2438835,48.97
"302","Auliscomys sublimis",2438833,38
"303","Avahi laniger",2436426,1093.355
"304","Avahi occidentalis",4267338,1092.28
"305","Axis axis",2440934,44833.3333333333
"306","Axis calamianensis",5220130,40156.3
"307","Axis kuhlii",5220129,49000
"308","Axis porcinus",5220128,35816.0966666667
"309","Babyrousa babyrussa",2441209,83400.03
"310","Babyrousa bolabatuensis",4262910,92950.09
"311","Babyrousa celebensis",4262912,92950.09
"312","Babyrousa togeanensis",4262911,92950.09
"313","Baiomys musculus",2438865,8.495
"314","Baiomys taylori",2438866,7.6825
"315","Balaena mysticetus",2440330,86444444.4444444
"316","Balaenoptera acutorostrata",2440728,8923972.87966667
"317","Balaenoptera bonaerensis",7759914,7500000
"318","Balaenoptera borealis",2440709,20000000
"319","Balaenoptera edeni",2440714,17333333.3333333
"320","Balaenoptera musculus",2440735,144066666.666667
"321","Balaenoptera physalus",2440718,54044444.4444444
"322","Balaenopterus borealis",4832271,12000000
"323","Balantiopteryx infusca",2433134,9.05
"324","Balantiopteryx io",2433133,3.97
"325","Balantiopteryx plicata",2433132,6.285
"326","Balionycteris maculata",2432945,14.43
"327","Bandicota bengalensis",2437727,173.415
"328","Bandicota indica",2437729,200
"329","Bandicota savilei",2437728,260.63
"330","Barbastella barbastellus",2432582,10.125
"331","Barbastella leucomelas",2432581,10
"332","Bassaricus sumichrasti",2433551,1100
"333","Bassaricyon alleni",2433586,1236.875
"334","Bassaricyon beddardi",2433583,1235.01
"335","Bassaricyon gabbii",2433585,1240
"336","Bassaricyon lasius",2433582,1200
"337","Bassaricyon pauli",2433584,1200
"338","Bassariscus astutus",2433557,984.29
"339","Bassariscus sumichrasti",2433551,1028.66666666667
"340","Bathyergus janetta",2437223,516.75
"341","Bathyergus suillus",2437222,688.2
"342","Batomys dentatus",2437748,213.39
"343","Batomys granti",2437750,169.53
"344","Batomys salomonseni",2437749,185.76
"345","Bauerus dubiaquercus",4265862,22.22
"346","Bdeogale crassicauda",2434117,1646.065
"347","Bdeogale jacksoni",2434124,2500
"348","Bdeogale nigripes",2434123,2155.7525
"349","Beamys hindei",2437732,88.735
"350","Beatragus hunteri",4262734,119000
"351","Belomys pearsonii",2437241,217
"352","Berardius arnuxii",2440387,7000000
"353","Berardius bairdii",2440388,11390000
"354","Berylmys bowersi",2438965,358.68
"355","Bettongia gaimardi",2440025,1428.783967
"356","Bettongia lesueur",2440023,1373.5701185
"357","Bettongia penicillata",2440026,1199.72291725
"358","Bettongia tropica",2440024,1184.35
"359","Bibimys chacoensis",2439030,28
"360","Bibimys torresi",2439028,28
"361","Bison bison",2441176,603592.716733333
"362","Bison bonasus",2441184,646525.69
"363","Blarina brevicauda",2435862,19.2625
"364","Blarina carolinensis",2435875,15.325
"365","Blarina hylophaga",2435859,15.8533333333333
"366","Blarina peninsulae",2435879,20.45
"367","Blarinella griselda",2435764,12.5
"368","Blarinella quadraticauda",2435765,12.5
"369","Blarinella wardi",2435763,12.5
"370","Blarinomys breviceps",2439095,36.79
"371","Blastocerus dichotomus",2440963,102500
"372","Bos frontalis",2441025,820857.175
"373","Bos gaurus",2441026,850000
"374","Bos grunniens",2441019,694666.666666667
"375","Bos javanicus",2441027,694444.445
"376","Bos sauveli",2441018,795660.88
"377","Bos taurus",2441022,553874.79988
"378","Boselaphus tragocamelus",2441133,180000
"379","Brachylagus idahoensis",2436688,431.595
"380","Brachyphylla cavernarum",5218760,45
"381","Brachyphylla nana",5218761,45
"382","Brachytarsomys albicauda",2438951,200
"383","Brachytarsomys villosa",4263420,209.995
"384","Brachyteles arachnoides",2436666,11059.9683333333
"385","Brachyteles hypoxanthus",4267243,10839.905
"386","Brachyuromys betsileoensis",2439207,93.58
"387","Brachyuromys ramirohitra",2439208,92.31
"388","Bradypus torquatus",2436351,4042.105
"389","Bradypus tridactylus",2436361,3540.526772
"390","Bradypus variegatus",2436353,3884.39333333333
"391","Brucepattersonius iheringi",4265067,43
"392","Bubalus bubalis",7422937,759083.495
"393","Bubalus depressicornis",8085503,171998.211666667
"394","Bubalus mindorensis",7349281,243861.535
"395","Bubalus quarlesi",7846959,157929.715
"396","Budorcas taxicolor",2441046,218171.776666667
"397","Bullimus bagobus",2437852,324.455
"398","Bullimus luzonicus",2437853,388.57
"399","Bunolagus monticularis",2436681,1500.005
"400","Bunomys chrysocomus",5219843,111.29
"401","Bunomys coelestis",5219848,111.29
"402","Bunomys fratrorum",5219845,130.31
"403","Bunopithecus hoolock",4267262,6699
"404","Burramys parvus",2440237,43.7455100175
"405","Cabassous centralis",2440806,3540
"406","Cabassous chacoensis",2440810,1490.01
"407","Cabassous tatouay",2440811,5349.95
"408","Cabassous unicinctus",2440807,3987.97
"409","Cacajao calvus",2436410,3689.51333333333
"410","Cacajao melanocephalus",2436409,3460.79
"411","Caenolestes caniventer",2433364,40
"412","Caenolestes condorensis",2433363,48
"413","Caenolestes convelatus",2433360,35.78
"414","Caenolestes fuliginosus",2433365,31.32
"415","Calcochloris obtusirostris",2432190,24.05
"416","Callicebus baptista",2436400,904.065
"417","Callicebus barbarabrownae",2436391,1390.8
"418","Callicebus brunneus",2436401,958.13
"419","Callicebus caligatus",2436384,992.4
"420","Callicebus cinerascens",2436390,992.4
"421","Callicebus coimbrai",2436383,1390.8
"422","Callicebus cupreus",8755067,1037.575
"423","Callicebus discolor",9134962,1037.575
"424","Callicebus donacophilus",2436399,846.335
"425","Callicebus dubius",2436403,992.4
"426","Callicebus hoffmannsi",2436382,904.065
"427","Callicebus lucifer",2436396,1129.785
"428","Callicebus lugens",2436387,1129.785
"429","Callicebus medemi",2436402,1129.785
"430","Callicebus melanochir",2436393,1390.8
"431","Callicebus modestus",2436380,992.4
"432","Callicebus moloch",2436388,913.0563912
"433","Callicebus nigrifrons",2436404,1390.8
"434","Callicebus oenanthe",2436381,992.4
"435","Callicebus olallae",2436389,992.4
"436","Callicebus ornatus",2436385,1037.575
"437","Callicebus pallescens",2436377,846.335
"438","Callicebus personatus",2436398,1390.8
"439","Callicebus purinus",2436379,1129.785
"440","Callicebus regulus",2436397,1129.785
"441","Callicebus torquatus",2436394,1129.785
"442","Callimico goeldii",2436464,559.63325055
"443","Callistomys pictus",4263000,518.99
"444","Callithrix argentata",5219540,349.61472125
"445","Callithrix aurita",8827576,272.705
"446","Callithrix chrysoleuca",5707300,343.33
"447","Callithrix emiliae",5707293,350.225
"448","Callithrix flaviceps",5219543,290.21
"449","Callithrix geoffroyi",5219539,320.8025
"450","Callithrix humeralifera",9198990,299.605
"451","Callithrix intermedia",5707301,343.2
"452","Callithrix jacchus",5219542,261.983333333333
"453","Callithrix kuhlii",5219538,324.5
"454","Callithrix leucippe",5707302,357.25
"455","Callithrix marcai",5707297,357.25
"456","Callithrix mauesi",5707303,443.79
"457","Callithrix melanura",5707295,357.25
"458","Callithrix nigriceps",5707298,401.12
"459","Callithrix penicillata",5219541,307
"460","Callithrix pygmaea",5219535,122.253879043333
"461","Callorhinus ursinus",2433487,83532.7177766667
"462","Callosciurus adamsi",2437403,304.745
"463","Callosciurus baluensis",2437398,323.91
"464","Callosciurus caniceps",2437404,258.9775
"465","Callosciurus erythraeus",2437394,274.8075
"466","Callosciurus melanogaster",2437395,296
"467","Callosciurus nigrovittatus",2437400,205.15
"468","Callosciurus notatus",2437396,295
"469","Callosciurus orestes",2437401,208.3
"470","Callosciurus prevostii",2437397,400
"471","Callospermophilus lateralis",7593288,188.266666666667
"472","Callospermophilus saturatus",8102496,256.6
"473","Calomys boliviae",2437956,48
"474","Calomys callidus",2437953,48.6
"475","Calomys callosus",2437950,48.3
"476","Calomys expulsus",4265146,48
"477","Calomys hummelincki",2437952,27
"478","Calomys laucha",9719395,24
"479","Calomys lepidus",2437955,18.295
"480","Calomys musculinus",2437951,17.25
"481","Calomys sorellus",2437957,20.295
"482","Calomys tener",2437954,14
"483","Calomys venustus",4265148,49.35
"484","Calomyscus bailwardi",2439355,20.4
"485","Calomyscus baluchi",2439353,20.4
"486","Calomyscus elburzensis",4264682,20.4
"487","Calomyscus grandis",4264683,20.4
"488","Calomyscus hotsoni",2439351,20.4
"489","Calomyscus mystax",2439352,20.4
"490","Calomyscus urartensis",2439354,20.4
"491","Caloprymnus campestris",2440028,908.285
"492","Caluromys derbianus",2439992,329.25
"493","Caluromys lanatus",2440004,410
"494","Caluromys philander",2439999,278.405695266667
"495","Caluromysiops irrupta",2439937,257.48
"496","Calyptophractus retusus",2440821,129.99
"497","Camelus bactrianus",2441238,475000
"498","Camelus dromedarius",9055455,477000
"499","Canis adustus",5219146,10273.7483333333
"500","Canis aureus",5219219,11000
"501","Canis familiaris",5219200,40000
"502","Canis latrans",5219153,11915.625
"503","Canis lupus",5219173,32580.7244642857
"504","Canis mesomelas",5219216,9116.825
"505","Canis rufus",5219186,23000
"506","Canis simensis",5219143,13159.215
"507","Cannomys badius",2438494,518.345
"508","Cansumys canus",2439293,25
"509","Caperea marginata",2440310,4000000
"510","Capra caucasica",2441051,69773.415
"511","Capra cylindricornis",2441053,57500
"512","Capra falconeri",2441050,59000
"513","Capra hircus",2441056,60833.3333333333
"514","Capra ibex",2441055,80666.6666666667
"515","Capra nubiana",2441049,58386.7075
"516","Capra pyrenaica",2441054,60898.77
"517","Capra sibirica",2441052,106250
"518","Capra walie",2441048,80000
"519","Capreolus capreolus",5220126,21885.66602
"520","Capreolus pygargus",5220127,30558.35
"521","Capricornis crispus",4262615,67676.88
"522","Capricornis milneedwardsii",7261423,95000
"523","Capricornis rubidus",4262619,95000
"524","Capricornis sumatraensis",4262616,95000
"525","Capricornis swinhoei",4262612,43030.64
"526","Capricornis thar",4262618,95000
"527","Caprolagus hispidus",2436938,2498.495
"528","Capromys pilorides",2437653,3656.65
"529","Caracal caracal",2435010,15333.3333333333
"530","Cardioderma cor",2433356,26.45
"531","Carlito syrichta",8008808,116.1
"532","Carollia brevicauda",2433177,14.85
"533","Carollia castanea",2433178,13.1
"534","Carollia perspicillata",2433176,16.325
"535","Carollia subrufa",2433175,14.47
"536","Carpitalpa arendsi",2432207,52.34
"537","Carpomys melanurus",2438548,229.57
"538","Carpomys phaeurus",2438547,183.3
"539","Carterodon sulcidens",2439735,113.8
"540","Casinycteris argynnis",2432853,28.28
"541","Castor canadensis",2439838,18193.33375
"542","Castor fiber",4409131,22000
"543","Catagonus wagneri",2440998,35433.2
"544","Catopuma badia",2435093,3429.52
"545","Catopuma temminckii",2435094,12500
"546","Cavia aperea",5219704,341
"547","Cavia fulgida",5219706,282.5
"548","Cavia magna",5219703,459.99
"549","Cavia porcellus",5219702,681.025
"550","Cavia tschudii",5219705,618.646666666667
"551","Cebuella pygmaea",4827382,119.566666666667
"552","Cebus albifrons",2436636,2472.48876066667
"553","Cebus apella",2436639,2679.9692315
"554","Cebus capucinus",2436637,2720.77717066667
"555","Cebus kaapori",4266912,2670.07
"556","Cebus libidinosus",7261990,2642.5
"557","Cebus nigritus",7261992,2642.5
"558","Cebus olivaceus",2436638,2596.57539766667
"559","Cebus xanthosternos",4266923,2642.5
"560","Centronycteris centralis",4265249,23
"561","Centronycteris maximiliani",2433136,23
"562","Centurio senex",2433148,23.09
"563","Cephalopachus bancanus",7503658,122.5
"564","Cephalophus adersi",2441165,10000
"565","Cephalophus brookei",4262456,19193.21
"566","Cephalophus callipygus",2441170,19079.23
"567","Cephalophus dorsalis",2441158,11600
"568","Cephalophus jentinki",2441159,69622.61
"569","Cephalophus leucogaster",2441167,12954.345
"570","Cephalophus maxwelli",2441153,8000
"571","Cephalophus monticola",2441160,6250
"572","Cephalophus natalensis",2441168,10000
"573","Cephalophus niger",2441157,18100
"574","Cephalophus nigrifrons",2441154,13900
"575","Cephalophus ogilbyi",2441169,19193.21
"576","Cephalophus rufilatus",2441161,12750
"577","Cephalophus silvicultor",2441163,62168.8666666667
"578","Cephalophus spadix",2441156,56857.02
"579","Cephalophus weynsi",2441162,10000
"580","Cephalophus zebra",2441164,15654.75
"581","Cephalorhynchus commersonii",8697392,59350
"582","Cephalorhynchus eutropia",5220042,45000
"583","Cephalorhynchus heavisidii",5220041,60000
"584","Cephalorhynchus hectori",5220033,49999.99
"585","Ceratotherium simum",2440880,2387083.33333333
"586","Cercartetus caudatus",2440229,26.524265905
"587","Cercartetus concinnus",2440233,29.3
"588","Cercartetus lepidus",2440232,11.3075
"589","Cercartetus nanus",2440226,51.059162135
"590","Cercocebus agilis",2436546,7887.5
"591","Cercocebus atys",7262035,8778
"592","Cercocebus chrysogaster",4267135,7775
"593","Cercocebus galeritus",2436545,7066.5
"594","Cercocebus sanjei",4267131,7066.5
"595","Cercocebus torquatus",2436544,8870.77777777778
"596","Cercopithecus albogularis",7262043,6116.5
"597","Cercopithecus ascanius",5219569,3705
"598","Cercopithecus campbelli",5219582,3700
"599","Cercopithecus cephus",5219570,3523.31333333333
"600","Cercopithecus denti",5707353,3550
"601","Cercopithecus diana",5219576,4564.530844
"602","Cercopithecus doggetti",5707388,6116.5
"603","Cercopithecus dryas",5219583,4454.455
"604","Cercopithecus erythrogaster",5219571,4253.455
"605","Cercopithecus erythrotis",5219577,3355
"606","Cercopithecus hamlyni",5219584,4478.125
"607","Cercopithecus kandti",5707349,6116.5
"608","Cercopithecus lhoesti",5219572,4700
"609","Cercopithecus lowei",5707385,3800
"610","Cercopithecus mitis",5219578,8154.125
"611","Cercopithecus mona",5219566,4400.0425
"612","Cercopithecus neglectus",5219567,5863.66666666667
"613","Cercopithecus nictitans",5219573,5465
"614","Cercopithecus petaurista",5219579,3650
"615","Cercopithecus pogonias",5219574,3432.33333333333
"616","Cercopithecus preussi",5219568,4916.285
"617","Cercopithecus roloway",5707396,4550
"618","Cercopithecus sclateri",5219581,3304.99
"619","Cercopithecus solatus",5219575,4588.455
"620","Cercopithecus wolfi",5219580,3427.0675
"621","Cerdocyon thous",2434584,6046.415
"622","Cervus duvaucelii",2440956,159000
"623","Cervus elaphus",2440958,145319.444027778
"624","Cervus nippon",2440954,45666.6633333333
"625","Cervus unicolor",2440949,212000
"626","Chaerephon aloysiisabaudiae",5218717,19.54
"627","Chaerephon ansorgei",5218722,14.53
"628","Chaerephon bemmeleni",5218713,12.39
"629","Chaerephon bivittatus",5707233,12.58
"630","Chaerephon bregullae",5707225,20.71
"631","Chaerephon chapini",5218723,7.49
"632","Chaerephon gallagheri",5218714,8.1
"633","Chaerephon jobensis",5218719,20.71
"634","Chaerephon johorensis",5218715,15.69
"635","Chaerephon major",5218720,15.17
"636","Chaerephon nigeriae",5218711,20.14
"637","Chaerephon plicatus",5707214,21.83
"638","Chaerephon pumila",5218712,11
"639","Chaerephon pumilus",5707216,10.98
"640","Chaerephon russatus",5707232,16.98
"641","Chaerephon shortridgei",5707224,7.49
"642","Chaerephon solomonis",5707218,20.71
"643","Chaerephon tomensis",5707234,7.48
"644","Chaeropus ecaudatus",5219454,209.755
"645","Chaetocauda sichuanensis",4262914,31.51
"646","Chaetodipus arenarius",2439598,23
"647","Chaetodipus artus",2439599,22.03
